,top_left_square,top_middle_square,top_right_square,middle_left_square,middle_middle_square,middle_right_square,bottom_left_square,bottom_middle_square,bottom_right_square,target
54,2,2,2,0,1,2,1,0,1,1
112,2,2,0,0,2,1,1,1,2,1
527,0,1,2,2,2,2,1,0,1,1
28,2,2,2,1,1,0,2,0,1,1
218,2,1,0,0,2,1,1,2,2,1
892,0,2,1,2,2,1,0,0,1,0
599,0,0,2,1,1,2,0,0,2,1
33,2,2,2,1,1,0,0,0,0,1
630,2,2,1,2,1,2,1,0,1,0
61,2,2,2,0,1,1,0,1,2,1
750,1,2,2,1,2,2,1,0,1,0
344,1,2,1,0,0,1,2,2,2,1
277,2,0,0,2,1,2,2,1,1,1
677,2,1,2,2,1,0,0,1,0,0
870,1,0,1,1,2,2,1,2,2,0
76,2,2,2,0,0,0,1,0,1,1
348,1,2,0,2,2,1,1,2,0,1
280,2,0,0,2,1,1,2,0,0,1
425,1,0,2,2,2,1,2,1,0,1
651,2,2,1,0,1,2,1,2,1,0
808,1,1,2,1,2,2,1,2,0,0
366,1,1,2,2,2,2,1,2,1,1
212,2,1,0,1,2,0,1,2,2,1
528,0,1,2,2,2,2,0,1,1,1
518,0,2,0,1,2,1,2,2,1,1
464,1,0,1,2,2,2,0,0,0,1
299,1,2,2,1,2,1,2,2,1,1
208,2,1,0,1,2,2,0,1,2,1
12,2,2,2,1,2,1,2,1,1,1
198,2,1,0,2,1,1,2,0,2,1
789,1,2,0,2,1,1,2,2,1,0
720,2,0,1,2,1,2,1,1,2,0
563,0,1,1,2,2,2,2,0,1,1
329,1,2,1,1,2,2,2,2,1,1
636,2,2,1,2,1,0,1,0,0,0
718,2,0,1,2,2,1,0,0,1,0
904,0,2,1,0,1,2,1,2,0,0
214,2,1,0,1,1,0,2,2,2,1
543,0,1,2,1,1,2,2,0,2,1
447,1,0,2,0,2,1,2,2,1,1
591,0,0,2,1,2,2,1,1,2,1
205,2,1,0,2,0,0,2,1,0,1
905,0,2,1,0,1,2,1,0,2,0
186,2,1,1,0,0,1,2,2,2,1
751,1,2,2,1,2,1,1,0,2,0
924,0,1,0,2,1,2,2,1,0,0
405,1,1,2,0,0,2,1,2,2,1
243,2,0,1,2,2,1,1,0,2,1
526,0,1,2,2,2,2,1,1,0,1
567,0,1,1,2,2,2,0,1,2,1
494,0,2,2,0,2,1,1,2,1,1
694,2,1,1,2,1,0,1,2,2,0
372,1,1,2,2,2,1,2,1,2,1
435,1,0,2,1,2,1,2,0,2,1
701,2,1,0,1,1,2,2,1,2,0
69,2,2,2,0,0,1,2,1,1,1
704,2,1,0,0,1,0,2,1,2,0
113,2,1,2,2,2,1,2,1,1,1
570,0,1,1,2,0,1,2,2,2,1
391,1,1,2,1,0,0,2,2,2,1
745,1,2,2,2,1,0,2,1,1,0
466,1,0,1,2,0,1,2,2,2,1
836,1,1,1,0,2,2,2,1,2,0
522,0,2,0,1,2,0,0,2,1,1
262,2,0,1,1,2,1,0,2,2,1
803,1,1,2,2,1,2,2,1,0,0
397,1,1,2,0,2,1,2,0,2,1
782,1,2,1,1,2,2,1,0,2,0
172,2,1,1,1,2,2,0,0,2,1
143,2,1,2,0,0,2,1,1,2,1
495,0,2,2,0,1,2,1,1,2,1
162,2,1,1,2,1,0,2,0,2,1
925,0,1,0,2,1,2,0,1,2,0
724,2,0,1,2,1,0,1,0,2,0
863,1,0,2,1,0,0,1,2,2,0
822,1,1,1,2,1,2,0,2,2,0
477,1,0,0,2,2,2,0,0,1,1
513,0,2,1,0,2,0,1,2,0,1
206,2,1,0,2,0,0,2,0,1,1
352,1,2,0,1,2,1,2,2,0,1
654,2,2,1,0,1,1,2,2,1,0
841,1,1,1,0,2,0,2,2,0,0
383,1,1,2,1,2,2,2,0,0,1
170,2,1,1,1,2,2,2,1,2,1
632,2,2,1,2,1,1,1,0,2,0
351,1,2,0,1,2,2,0,2,1,1
546,0,1,2,1,0,2,2,1,2,1
790,1,2,0,2,1,0,2,0,1,0
292,2,0,0,0,2,1,1,0,2,1
687,2,1,2,0,1,1,2,1,2,0
409,1,1,0,2,2,2,2,0,1,1
423,1,0,2,2,2,2,1,0,1,1
364,1,2,0,0,1,1,2,2,2,1
79,2,2,1,2,1,2,2,1,1,1
897,0,2,1,2,1,1,1,2,2,0
507,0,2,1,1,2,0,0,2,0,1
607,0,0,2,0,0,2,1,1,2,1
5,2,2,2,2,1,1,0,0,1,1
709,2,0,2,1,1,1,2,2,1,0
529,0,1,2,2,2,1,2,1,0,1
81,2,2,1,2,1,1,2,0,0,1
241,2,0,1,2,2,2,0,1,1,1
768,1,2,2,0,1,2,2,1,1,0
672,2,1,2,2,2,0,1,1,1,0
682,2,1,2,1,1,1,0,2,2,0
509,0,2,1,1,0,1,2,2,2,1
370,1,1,2,2,2,2,0,0,1,1
839,1,1,1,0,2,2,0,2,0,0
778,1,2,1,2,1,2,0,2,1,0
326,1,2,1,2,2,0,1,2,0,1
712,2,0,2,1,1,1,1,2,2,0
9,2,2,2,2,0,1,1,1,0,1
920,0,1,2,0,1,0,2,1,2,0
389,1,1,2,1,0,2,2,0,2,1
490,0,2,2,1,1,2,1,0,2,1
145,2,1,1,2,2,2,1,2,1,1
221,2,1,0,0,2,0,0,1,2,1
146,2,1,1,2,2,2,1,1,2,1
310,1,2,2,0,2,1,2,0,1,1
244,2,0,1,2,2,1,0,1,2,1
265,2,0,1,1,2,0,0,0,2,1
809,1,1,2,1,2,0,1,2,2,0
668,2,2,0,1,1,1,0,2,0,0
278,2,0,0,2,1,1,2,2,1,1
155,2,1,1,2,2,0,2,0,1,1
723,2,0,1,2,1,0,1,2,0,0
479,1,0,0,1,2,1,2,2,2,1
129,2,1,2,1,2,0,2,0,1,1
737,2,0,0,1,1,1,2,0,2,0
531,0,1,2,2,2,0,2,1,1,1
683,2,1,2,1,1,0,2,1,2,0
810,1,1,2,0,1,2,2,2,1,0
283,2,0,0,2,0,1,2,1,0,1
514,0,2,1,0,2,0,0,2,1,1
538,0,1,2,1,2,1,2,2,0,1
662,2,2,0,2,0,0,1,1,1,0
