,parents,has_nurs,form,children,housing,finance,social,health,target
4275,2,4,2,3,0,1,0,2,3
10789,0,1,1,3,1,0,1,1,3
3783,2,4,1,2,0,0,2,2,1
3755,2,4,1,1,2,1,0,0,0
5253,1,2,0,1,0,1,1,2,1
10546,0,1,0,3,0,1,1,1,3
106,2,3,0,1,1,1,1,1,1
872,2,2,0,0,0,0,1,0,0
4223,2,4,2,2,0,1,0,0,0
8692,0,3,0,0,1,1,1,1,1
12899,0,4,2,2,1,1,0,0,0
8522,1,4,2,1,1,0,1,0,0
1246,2,2,1,3,0,0,2,1,1
5718,1,2,3,1,1,1,2,2,1
4228,2,4,2,2,0,1,1,1,3
3564,2,4,0,2,0,0,0,2,1
10711,0,1,1,2,2,0,0,1,3
10456,0,1,0,1,2,1,1,1,3
3853,2,4,1,3,2,0,0,1,3
1010,2,2,0,2,1,0,0,0,0
9178,0,3,3,1,1,1,1,1,3
4606,1,3,1,1,0,1,1,1,1
8039,1,4,1,0,1,1,0,0,0
5537,1,2,1,2,2,1,0,0,0
2311,2,1,3,2,1,0,1,1,1
8913,0,3,1,1,0,0,2,2,1
8565,1,4,2,2,2,1,1,2,3
12806,0,4,2,1,0,0,1,0,0
11782,0,0,3,2,0,1,0,1,3
8570,1,4,2,2,1,0,0,0,0
4447,1,3,0,2,2,0,0,1,1
1302,2,2,3,0,0,0,1,2,1
12862,0,4,2,2,0,1,0,1,3
2716,2,0,0,2,0,1,1,1,3
8143,1,4,1,2,1,0,1,1,3
10566,0,1,0,3,1,0,0,2,3
6221,1,1,0,3,0,1,0,0,0
9398,0,3,2,2,0,0,0,0,0
2397,2,1,2,0,2,0,2,2,1
4034,2,4,3,2,1,0,0,0,0
11214,0,1,2,3,1,0,0,2,3
6844,1,1,2,2,1,0,2,1,3
8003,1,4,1,0,0,1,0,0,0
7079,1,0,0,3,0,0,2,0,0
8424,1,4,2,0,0,0,0,2,1
12918,0,4,2,3,0,1,2,2,3
11838,0,0,3,3,0,1,2,2,3
11873,0,0,3,3,1,1,0,0,0
12825,0,4,2,1,2,1,0,2,3
11126,0,1,2,2,0,0,0,0,0
796,2,3,2,2,1,0,2,1,1
10761,0,1,1,3,0,1,1,2,3
2059,2,1,1,2,0,0,1,1,1
7862,1,4,0,1,2,1,2,0,0
2193,2,1,3,0,2,1,1,2,1
7325,1,0,1,3,2,1,1,0,0
8131,1,4,1,2,2,1,2,1,3
10036,0,2,3,1,1,1,0,1,3
10271,0,2,2,2,0,1,0,0,0
8310,1,4,3,1,1,1,2,2,3
2132,2,1,1,3,2,0,1,0,0
6114,1,1,0,1,0,1,2,2,1
6363,1,1,1,1,1,1,0,2,1
8469,1,4,2,0,1,1,0,2,3
2722,2,0,0,2,2,0,2,1,3
1797,2,1,0,1,0,1,1,2,1
5742,1,2,3,2,2,0,0,2,1
10665,0,1,1,1,2,1,0,2,1
7379,1,0,3,0,2,1,1,0,0
7784,1,4,0,0,0,0,1,0,0
5959,1,2,2,2,2,0,0,1,1
8142,1,4,1,2,1,0,1,2,3
7230,1,0,1,1,1,1,2,2,3
7229,1,0,1,1,1,1,0,0,0
6820,1,1,2,2,0,1,1,1,3
1732,2,1,0,0,0,0,2,1,1
8296,1,4,3,1,2,1,1,1,3
9031,0,3,1,3,0,1,2,1,3
7131,1,0,1,0,0,0,2,2,1
4790,1,3,3,0,1,0,0,0,0
12695,0,4,3,3,0,0,2,0,0
4406,1,3,0,1,2,1,2,0,0
4278,2,4,2,3,0,1,2,2,3
9413,0,3,2,2,0,1,1,0,0
12816,0,4,2,1,2,0,0,2,3
10433,0,1,0,1,0,1,0,0,0
12650,0,4,3,2,0,1,2,0,0
6451,1,1,1,3,2,0,1,1,3
11426,0,0,0,3,2,1,2,0,0
7598,1,0,2,0,1,0,0,0,0
10382,0,1,0,0,0,1,2,0,0
3757,2,4,1,1,2,1,2,1,3
4617,1,3,1,1,2,1,0,2,4
1198,2,2,1,2,0,1,0,1,1
12440,0,4,1,2,2,0,0,0,0
1071,2,2,0,3,1,1,0,2,1
5378,1,2,0,3,2,1,2,0,0
6589,1,1,3,2,0,0,0,1,1
3222,2,0,3,3,1,0,0,2,1
2793,2,0,0,3,1,0,2,2,1
1119,2,2,1,0,1,0,2,2,1
2817,2,0,1,0,0,1,0,2,1
12543,0,4,3,0,0,1,1,2,3
4674,1,3,1,2,2,1,2,2,1
12641,0,4,3,2,0,0,2,0,0
6152,1,1,0,1,1,1,2,0,0
7119,1,0,0,3,1,1,0,2,3
10702,0,1,1,2,0,1,0,1,3
11686,0,0,3,0,2,0,2,1,3
12783,0,4,2,0,1,0,2,2,3
6297,1,1,1,0,2,1,1,2,1
8687,0,3,0,0,1,1,0,0,0
8524,1,4,2,1,1,1,0,1,3
9067,0,3,1,3,1,1,2,1,3
8119,1,4,1,2,2,0,0,1,3
10956,0,1,3,2,1,1,2,2,3
8887,0,3,1,0,2,1,2,1,1
3083,2,0,3,1,0,0,2,0,0
9380,0,3,2,1,1,0,0,0,0
8858,0,3,1,0,0,0,0,0,0
9349,0,3,2,1,0,0,1,1,1
15,2,3,0,0,0,1,1,2,1
11122,0,1,2,1,1,1,1,1,3
2885,2,0,1,1,2,0,2,0,0
6487,1,1,3,0,0,0,1,1,1
7492,1,0,3,2,1,0,2,1,3
65,2,3,0,1,0,1,0,0,0
10387,0,1,0,0,2,0,0,1,3
1524,2,2,2,0,0,1,2,2,1
4588,1,3,1,0,1,1,1,1,1
1000,2,2,0,2,2,1,0,1,1
3525,2,4,0,1,0,1,1,2,3
7409,1,0,3,1,0,1,0,0,0
7778,1,4,0,0,0,0,0,0,0
3951,2,4,3,1,0,1,0,2,3
12501,0,4,1,3,2,1,0,2,3
5623,1,2,3,0,0,0,1,1,1
1322,2,2,3,0,2,0,1,0,0
6407,1,1,1,2,2,1,1,0,0
10074,0,2,3,2,2,1,2,2,1
12596,0,4,3,1,0,1,2,0,0
10770,0,1,1,3,2,0,1,2,3
12430,0,4,1,2,0,1,0,1,3
9455,0,3,2,3,0,0,2,0,0
6907,1,1,2,3,1,1,2,1,3
1633,2,2,2,2,0,1,2,1,1
10172,0,2,2,0,2,0,0,0,0
5842,1,2,2,0,0,1,0,1,1
11491,0,0,1,0,1,0,1,1,3
1288,2,2,1,3,1,1,0,1,1
3129,2,0,3,1,1,1,1,2,3
3844,2,4,1,3,0,1,0,1,3
7489,1,0,3,2,1,0,0,1,3
2962,2,0,1,2,1,1,0,1,3
5223,1,2,0,0,1,0,2,2,4
669,2,3,2,0,2,0,2,2,1
1666,2,2,2,2,1,1,0,1,1
6278,1,1,1,0,0,1,2,0,0
3866,2,4,1,3,2,1,2,0,0
3430,2,0,2,3,2,1,0,1,3
304,2,3,1,1,2,1,1,1,1
68,2,3,0,1,0,1,2,0,0
5438,1,2,1,0,1,0,0,0,0
3163,2,0,3,2,2,1,2,1,3
1764,2,1,0,0,1,0,0,2,4
1042,2,2,0,3,0,1,1,1,1
12414,0,4,1,1,1,1,2,2,3
9207,0,3,3,2,2,1,0,2,1
6015,1,2,2,3,2,0,2,2,1
9161,0,3,3,1,2,1,1,0,0
4259,2,4,2,2,1,1,0,0,0
8144,1,4,1,2,1,0,1,0,0
3970,2,4,3,1,2,1,0,1,3
12180,0,4,0,1,2,1,2,2,1
10208,0,2,2,1,0,0,0,0,0
4697,1,3,1,2,1,1,1,0,0
4826,1,3,3,1,2,0,0,0,0
2559,2,1,2,3,2,0,2,2,1
12694,0,4,3,3,0,0,2,1,3
6890,1,1,2,3,2,1,2,0,0
4773,1,3,3,0,2,0,2,2,4
12662,0,4,3,2,2,0,1,0,0
2596,2,0,0,0,0,0,2,1,1
8468,1,4,2,0,1,0,1,0,0
3614,2,4,0,2,1,1,2,0,0
3144,2,0,3,2,0,1,2,2,1
3874,2,4,1,3,1,0,2,1,3
5071,1,3,2,1,1,1,2,1,1
9859,0,2,1,2,2,1,2,1,3
706,2,3,2,1,0,0,2,1,1
5733,1,2,3,2,0,1,0,2,1
6525,1,1,3,0,1,1,0,2,1
8953,0,3,1,1,1,0,1,1,3
187,2,3,0,3,2,0,1,1,1
7042,1,0,0,2,2,0,2,1,3
5682,1,2,3,1,0,1,2,2,1
4056,2,4,3,3,0,0,1,2,3
1582,2,2,2,1,0,1,1,1,1
9001,0,3,1,2,1,0,0,1,3
5155,1,3,2,3,2,0,1,1,1
4216,2,4,2,2,0,0,2,1,3
12509,0,4,1,3,2,1,1,0,0
7029,1,0,0,2,0,1,0,2,3
195,2,3,0,3,2,1,1,2,1
10486,0,1,0,2,0,1,0,1,3
11594,0,0,1,2,1,0,0,0,0
9798,0,2,1,1,2,0,1,2,1
2106,2,1,1,3,0,0,0,2,4
11015,0,1,3,3,1,1,1,0,0
2330,2,1,3,3,0,0,1,0,0
3705,2,4,1,0,2,1,1,2,3
1004,2,2,0,2,2,1,2,0,0
49,2,3,0,0,1,1,2,1,1
4120,2,4,2,0,0,1,1,1,3
8434,1,4,2,0,0,1,0,1,3
4784,1,3,3,0,2,1,2,0,0
7935,1,4,0,2,1,1,1,2,3
6209,1,1,0,2,1,1,1,0,0
11198,0,1,2,3,2,0,0,0,0
10987,0,1,3,3,2,0,1,1,3
6628,1,1,3,2,1,0,2,1,3
6489,1,1,3,0,0,1,0,2,1
2815,2,0,1,0,0,0,1,1,1
325,2,3,1,2,0,0,0,1,1
2755,2,0,0,3,0,0,0,1,1
672,2,3,2,0,2,0,1,2,1
6252,1,1,0,3,1,0,1,2,3
9367,0,3,2,1,2,0,1,1,3
503,2,3,3,1,0,1,1,0,0
437,2,3,3,0,0,0,2,0,0
11031,0,1,2,0,0,1,1,2,3
11133,0,1,2,2,0,1,0,2,3
5254,1,2,0,1,0,1,1,1,1
1994,2,1,1,0,1,1,2,0,0
10596,0,1,1,0,0,1,2,2,1
2628,2,0,0,0,1,0,0,2,1
4755,1,3,3,0,0,0,2,2,4
7767,1,0,2,3,1,1,0,2,3
9141,0,3,3,1,0,1,1,2,3
10735,0,1,1,2,1,0,1,1,3
11588,0,0,1,2,2,1,2,0,0
1998,2,1,1,1,0,0,0,2,4
412,2,3,1,3,2,1,1,1,1
10051,0,2,3,2,0,0,1,1,1
8262,1,4,3,1,0,0,0,2,1
3569,2,4,0,2,0,0,2,0,0
11657,0,0,1,3,1,1,0,0,0
2562,2,1,2,3,2,0,1,2,1
9538,0,2,0,0,2,1,1,1,1
3860,2,4,1,3,2,0,1,0,0
621,2,3,3,3,2,1,0,2,1
2603,2,0,0,0,0,1,0,0,0
3668,2,4,0,3,1,1,2,0,0
4637,1,3,1,1,1,1,0,0,0
817,2,3,2,3,0,0,1,1,1
8366,1,4,3,2,1,1,2,0,0
8104,1,4,1,2,0,0,2,1,3
1955,2,1,1,0,0,1,0,0,0
4552,1,3,1,0,0,1,1,1,1
466,2,3,3,0,2,1,1,1,1
10499,0,1,0,2,2,0,2,0,0
5490,1,2,1,1,1,0,0,2,1
11180,0,1,2,3,0,0,0,0,0
1286,2,2,1,3,1,0,1,0,0
10836,0,1,3,0,1,0,0,2,3
2796,2,0,0,3,1,0,1,2,3
4568,1,3,1,0,2,1,2,0,0
705,2,3,2,1,0,0,2,2,4
7808,1,4,0,0,2,1,2,0,0
8488,1,4,2,1,0,1,0,1,3
9304,0,3,2,0,0,1,1,1,3
12280,0,4,0,3,2,0,2,1,3
10213,0,2,2,1,0,0,1,1,1
4227,2,4,2,2,0,1,1,2,3
6544,1,1,3,1,0,1,0,1,3
12212,0,4,0,2,0,0,1,0,0
10528,0,1,0,2,1,1,1,1,3
6112,1,1,0,1,0,1,0,1,1
6419,1,1,1,2,1,1,0,0,0
11466,0,0,1,0,2,0,0,2,1
11662,0,0,1,3,1,1,1,1,3
4469,1,3,0,2,1,0,2,0,0
2980,2,0,1,3,0,1,0,1,3
752,2,3,2,1,1,1,2,0,0
204,2,3,0,3,1,0,1,2,1
6600,1,1,3,2,0,1,2,2,1
3372,2,0,2,2,2,0,1,2,3
7406,1,0,3,1,0,0,1,0,0
12020,0,0,2,2,2,1,2,0,0
2020,2,1,1,1,2,0,2,1,1
9828,0,2,1,2,0,0,0,2,1
4423,1,3,0,1,1,1,2,1,1
759,2,3,2,2,0,0,2,2,4
11585,0,0,1,2,2,1,0,0,0
12524,0,4,1,3,1,1,2,0,0
5886,1,2,2,1,0,0,0,2,4
10030,0,2,3,1,1,0,2,1,3
3325,2,0,2,1,2,1,2,1,3
7739,1,0,2,3,0,1,1,0,0
8899,0,3,1,0,1,0,1,1,3
1569,2,2,2,1,0,0,2,2,4
17,2,3,0,0,0,1,1,0,0
1267,2,2,1,3,2,0,1,1,1
6416,1,1,1,2,1,0,1,0,0
5992,1,2,2,2,1,1,1,1,1
446,2,3,3,0,0,1,2,0,0
11555,0,0,1,1,1,1,1,0,0
295,2,3,1,1,2,0,1,1,1
10600,0,1,1,0,0,1,1,1,3
4513,1,3,0,3,2,1,2,1,1
5975,1,2,2,2,2,1,1,0,0
1417,2,2,3,2,0,1,2,1,1
1903,2,1,0,3,0,1,2,1,1
11277,0,0,0,0,1,1,0,2,1
8864,0,3,1,0,0,0,1,0,0
7340,1,0,1,3,1,1,2,0,0
4151,2,4,2,0,1,1,0,0,0
4301,2,4,2,3,2,1,1,0,0
4493,1,3,0,3,0,1,0,0,0
6793,1,1,2,1,1,0,1,1,3
4812,1,3,3,1,0,0,1,2,1
8821,0,3,0,3,2,0,0,1,3
10370,0,1,0,0,0,0,0,0,0
11842,0,0,3,3,0,1,1,1,3
3660,2,4,0,3,1,0,1,2,3
9839,0,2,1,2,0,1,0,0,0
2073,2,1,1,2,2,0,2,2,1
9620,0,2,0,2,0,0,1,0,0
10924,0,1,3,2,0,1,1,1,3
4585,1,3,1,0,1,1,2,1,1
1024,2,2,0,2,1,1,1,1,1
373,2,3,1,2,1,1,2,1,1
1320,2,2,3,0,2,0,1,2,1
10138,0,2,3,3,1,0,2,1,3
3715,2,4,1,0,1,0,1,1,3
6682,1,1,3,3,1,0,2,1,3
6501,1,1,3,0,2,0,2,2,1
9578,0,2,0,1,2,0,0,0,0
11918,0,0,2,0,1,0,0,0,0
368,2,3,1,2,1,0,1,0,0
6013,1,2,2,3,2,0,0,1,1
12830,0,4,2,1,2,1,2,0,0
1829,2,1,0,1,1,1,0,0,0
11570,0,0,1,2,0,1,2,0,0
9164,0,3,3,1,1,0,0,0,0
9336,0,3,2,0,1,1,2,2,1
1792,2,1,0,1,0,1,0,1,1
5746,1,2,3,2,2,0,2,1,1
4197,2,4,2,1,1,0,2,2,3
1496,2,2,3,3,1,0,0,0,0
380,2,3,1,3,0,0,0,0,0
11567,0,0,1,2,0,1,0,0,0
6339,1,1,1,1,2,0,2,2,1
12693,0,4,3,3,0,0,2,2,1
8597,1,4,2,3,0,1,0,0,0
12713,0,4,3,3,2,0,2,0,0
11954,0,0,2,1,2,0,0,0,0
9746,0,2,1,0,2,0,1,0,0
2072,2,1,1,2,2,0,0,0,0
5618,1,2,3,0,0,0,0,0,0
1149,2,2,1,1,0,1,1,2,1
3651,2,4,0,3,2,1,1,2,3
4782,1,3,3,0,2,1,2,2,4
3984,2,4,3,1,1,0,1,2,3
7544,1,0,3,3,1,0,0,0,0
5569,1,2,1,3,0,0,1,1,1
641,2,3,3,3,1,1,0,0,0
1846,2,1,0,2,0,1,0,1,1
12633,0,4,3,1,1,1,1,2,3
5928,1,2,2,1,1,0,1,2,1
2410,2,1,2,0,2,1,1,1,1
8530,1,4,2,1,1,1,1,1,3
7997,1,4,1,0,0,0,2,0,0
414,2,3,1,3,1,0,0,2,1
10781,0,1,1,3,2,1,1,0,0
11813,0,0,3,2,1,0,2,0,0
12300,0,4,0,3,1,0,1,2,3
7977,1,4,0,3,1,0,2,2,3
4243,2,4,2,2,2,1,2,1,3
3529,2,4,0,1,2,0,0,1,3
7392,1,0,3,0,1,1,2,2,3
6668,1,1,3,3,2,0,1,0,0
9418,0,3,2,2,2,0,2,1,3
10462,0,1,0,1,1,0,2,1,3
12083,0,0,2,3,1,0,2,0,0
10160,0,2,2,0,0,0,1,0,0
4590,1,3,1,1,0,0,0,2,4
12592,0,4,3,1,0,1,0,1,3
1500,2,2,3,3,1,0,1,2,1
6086,1,1,0,0,1,0,0,0,0
8036,1,4,1,0,1,0,1,0,0
10892,0,1,3,1,1,0,0,0,0
1525,2,2,2,0,0,1,2,1,1
5076,1,3,2,2,0,0,0,2,4
2201,2,1,3,0,1,0,2,0,0
12659,0,4,3,2,2,0,2,0,0
527,2,3,3,1,1,0,2,0,0
1823,2,1,0,1,1,0,2,0,0
4088,2,4,3,3,1,0,0,0,0
4713,1,3,1,3,0,1,1,2,1
2515,2,1,2,2,2,1,2,1,1
1847,2,1,0,2,0,1,0,0,0
8070,1,4,1,1,2,0,1,2,3
11978,0,0,2,1,1,0,1,0,0
10165,0,2,2,0,0,1,2,1,3
10661,0,1,1,1,2,0,2,0,0
5831,1,2,3,3,1,1,1,0,0
3392,2,0,2,2,1,0,1,0,0
2663,2,0,0,1,0,1,1,0,0
11369,0,0,0,2,2,1,0,0,0
4225,2,4,2,2,0,1,2,1,3
5501,1,2,1,1,1,1,0,0,0
7876,1,4,0,1,1,1,0,1,3
10166,0,2,2,0,0,1,2,0,0
3838,2,4,1,3,0,0,2,1,3
5485,1,2,1,1,2,1,2,1,1
5105,1,3,2,2,2,1,0,0,0
7823,1,4,0,0,1,1,0,0,0
6524,1,1,3,0,1,0,1,0,0
4372,1,3,0,0,1,1,1,1,1
5133,1,3,2,3,0,0,2,2,4
496,2,3,3,1,0,1,0,1,1
8096,1,4,1,1,1,1,2,0,0
6108,1,1,0,1,0,0,1,2,1
1017,2,2,0,2,1,1,0,2,1
144,2,3,0,2,1,0,0,2,1
9212,0,3,3,2,2,1,2,0,0
12175,0,4,0,1,2,0,1,1,3
9781,0,2,1,1,0,0,1,1,1
9543,0,2,0,0,1,0,2,2,1
11572,0,0,1,2,0,1,1,1,3
6208,1,1,0,2,1,1,1,1,3
8345,1,4,3,2,2,1,0,0,0
5332,1,2,0,2,1,0,2,1,1
1044,2,2,0,3,2,0,0,2,1
1680,2,2,2,3,0,0,1,2,1
1973,2,1,1,0,2,1,0,0,0
11460,0,0,1,0,0,1,2,2,1
12477,0,4,1,3,0,0,2,2,1
3260,2,0,2,0,2,0,0,0,0
10324,0,2,2,3,0,1,0,1,3
5461,1,2,1,1,0,0,1,1,1
3509,2,4,0,0,1,1,1,0,0
1300,2,2,3,0,0,0,2,1,1
6372,1,1,1,2,0,0,0,2,1
8888,0,3,1,0,2,1,2,0,0
12006,0,0,2,2,2,0,0,2,3
73,2,3,0,1,2,0,0,1,1
10852,0,1,3,0,1,1,1,1,3
7393,1,0,3,0,1,1,2,1,3
12450,0,4,1,2,2,1,2,2,3
12337,0,4,1,0,2,0,1,1,3
4710,1,3,1,3,0,1,2,2,1
9173,0,3,3,1,1,1,0,0,0
1982,2,1,1,0,1,0,0,0,0
10983,0,1,3,3,2,0,2,2,3
7260,1,0,1,2,2,0,1,2,3
10406,0,1,0,0,1,0,0,0,0
6277,1,1,1,0,0,1,2,1,1
11349,0,0,0,2,0,1,0,2,3
7178,1,0,1,0,1,1,2,0,0
4921,1,3,3,3,0,0,1,1,1
1064,2,2,0,3,1,0,0,0,0
11392,0,0,0,2,1,1,1,1,3
8731,0,3,0,1,1,0,0,1,3
11692,0,0,3,0,2,1,0,1,3
5435,1,2,1,0,2,1,1,0,0
8162,1,4,1,3,0,0,1,0,0
12402,0,4,1,1,1,0,0,2,3
6809,1,1,2,2,0,0,2,0,0
11153,0,1,2,2,2,1,0,0,0
9895,0,2,1,3,0,1,2,1,3
943,2,2,0,1,2,0,1,1,1
3531,2,4,0,1,2,0,2,2,1
2707,2,0,0,2,0,0,1,1,1
11407,0,0,0,3,0,1,2,1,3
12892,0,4,2,2,1,0,2,1,3
12744,0,4,2,0,0,0,0,2,1
6590,1,1,3,2,0,0,0,0,0
4942,1,3,3,3,2,1,0,1,1
284,2,3,1,1,0,1,2,0,0
3900,2,4,3,0,0,1,2,2,1
1646,2,2,2,2,2,0,1,0,0
1354,2,2,3,1,0,0,2,1,1
502,2,3,3,1,0,1,1,1,1
9456,0,3,2,3,0,0,1,2,1
5524,1,2,1,2,0,1,1,1,1
6422,1,1,1,2,1,1,2,0,0
8151,1,4,1,2,1,1,1,2,3
1015,2,2,0,2,1,0,1,1,1
12926,0,4,2,3,2,0,0,0,0
4361,1,3,0,0,1,0,2,0,0
9638,0,2,0,2,2,0,1,0,0
1019,2,2,0,2,1,1,0,0,0
9922,0,2,1,3,1,0,2,1,3
10321,0,2,2,3,0,0,1,1,1
9602,0,2,0,1,1,0,1,0,0
3323,2,0,2,1,2,1,0,0,0
12571,0,4,3,0,1,0,1,1,3
721,2,3,2,1,2,0,0,1,1
5777,1,2,3,2,1,1,1,0,0
7888,1,4,0,2,0,0,2,1,3
694,2,3,2,0,1,1,0,1,1
12525,0,4,1,3,1,1,1,2,3
6325,1,1,1,1,0,0,1,1,1
5159,1,3,2,3,2,1,0,0,0
940,2,2,0,1,2,0,2,1,1
3190,2,0,3,3,0,0,2,1,1
2627,2,0,0,0,2,1,1,0,0
4687,1,3,1,2,1,0,1,1,1
8564,1,4,2,2,2,1,2,0,0
287,2,3,1,1,0,1,1,0,0
8413,1,4,3,3,1,0,1,1,3
10801,0,1,3,0,0,0,0,1,3
96,2,3,0,1,1,0,1,2,1
10298,0,2,2,2,1,0,0,0,0
1467,2,2,3,3,0,1,0,2,1
12416,0,4,1,1,1,1,2,0,0
5072,1,3,2,1,1,1,2,0,0
4085,2,4,3,3,2,1,1,0,0
12518,0,4,1,3,1,0,1,0,0
11907,0,0,2,0,2,1,0,2,3
5145,1,3,2,3,0,1,1,2,1
2294,2,1,3,2,2,0,1,0,0
11725,0,0,3,1,0,0,1,1,3
10820,0,1,3,0,2,0,0,0,0
10142,0,2,3,3,1,0,1,0,0
5380,1,2,0,3,2,1,1,1,1
3318,2,0,2,1,2,0,1,2,3
5366,1,2,0,3,2,0,0,0,0
3465,2,4,0,0,0,1,0,2,1
6704,1,1,2,0,0,0,1,0,0
10683,0,1,1,1,1,1,0,2,3
3946,2,4,3,1,0,0,2,1,3
7402,1,0,3,1,0,0,2,1,3
6032,1,2,2,3,1,0,0,0,0
11226,0,1,2,3,1,1,2,2,3
7010,1,0,0,1,1,0,1,0,0
10545,0,1,0,3,0,1,1,2,3
1117,2,2,1,0,1,0,0,1,1
7625,1,0,2,1,0,1,0,0,0
4817,1,3,3,1,0,1,0,0,0
9351,0,3,2,1,0,1,0,2,1
9149,0,3,3,1,2,0,2,0,0
9940,0,2,3,0,0,0,2,1,1
8447,1,4,2,0,2,0,2,0,0
4170,2,4,2,1,0,1,2,2,3
6710,1,1,2,0,0,1,2,0,0
11845,0,0,3,3,2,0,0,1,3
90,2,3,0,1,1,0,0,2,1
2495,2,1,2,2,0,1,0,0,0
6731,1,1,2,0,2,1,1,0,0
3080,2,0,3,1,0,0,0,0,0
3504,2,4,0,0,1,1,2,2,1
12716,0,4,3,3,2,0,1,0,0
9024,0,3,1,3,0,0,1,2,1
11340,0,0,0,2,0,0,0,2,1
8393,1,4,3,3,2,0,2,0,0
5127,1,3,2,2,1,1,1,2,1
10268,0,2,2,2,0,0,1,0,0
36,2,3,0,0,1,0,0,2,4
6285,1,1,1,0,2,0,2,2,1
5136,1,3,2,3,0,0,1,2,1
5098,1,3,2,2,2,0,2,1,1
4501,1,3,0,3,2,0,0,1,1
2749,2,0,0,2,1,1,2,1,3
4733,1,3,1,3,2,1,1,0,0
7560,1,0,2,0,0,0,0,2,1
1844,2,1,0,2,0,0,1,0,0
9379,0,3,2,1,1,0,0,1,3
3473,2,4,0,0,0,1,1,0,0
4334,1,3,0,0,0,1,2,0,0
8173,1,4,1,3,2,0,0,1,3
1009,2,2,0,2,1,0,0,1,1
6279,1,1,1,0,0,1,1,2,1
7736,1,0,2,3,0,1,2,0,0
2837,2,0,1,0,2,1,0,0,0
10197,0,2,2,0,1,1,0,2,1
7672,1,0,2,2,0,0,2,1,3
6553,1,1,3,1,2,0,0,1,3
9955,0,2,3,0,2,0,0,1,1
6611,1,1,3,2,2,0,2,0,0
9279,0,3,3,3,1,1,0,2,1
10236,0,2,2,1,2,1,2,2,1
4070,2,4,3,3,2,0,0,0,0
4819,1,3,3,1,0,1,2,1,1
6684,1,1,3,3,1,0,1,2,3
10283,0,2,2,2,2,0,2,0,0
2701,2,0,0,2,0,0,0,1,1
260,2,3,1,0,1,0,1,0,0
12625,0,4,3,1,1,0,1,1,3
12906,0,4,2,3,0,0,0,2,1
835,2,3,2,3,2,0,1,1,1
12230,0,4,0,2,2,0,1,0,0
12645,0,4,3,2,0,1,0,2,3
10898,0,1,3,1,1,0,1,0,0
4102,2,4,3,3,1,1,1,1,3
3742,2,4,1,1,0,1,1,1,3
76,2,3,0,1,2,0,2,1,1
6566,1,1,3,1,2,1,2,0,0
11424,0,0,0,3,2,1,2,2,3
9135,0,3,3,1,0,1,0,2,1
12902,0,4,2,2,1,1,2,0,0
11077,0,1,2,1,0,0,1,1,3
9648,0,2,0,2,1,0,0,2,1
7790,1,4,0,0,0,1,2,0,0
805,2,3,2,2,1,1,2,1,1
1887,2,1,0,2,1,1,1,2,1
9514,0,2,0,0,0,1,0,1,1
9616,0,2,0,2,0,0,2,1,1
6948,1,0,0,0,1,0,0,2,1
5734,1,2,3,2,0,1,0,1,1
9689,0,2,0,3,2,0,2,0,0
7575,1,0,2,0,0,1,1,2,3
1023,2,2,0,2,1,1,1,2,1
9936,0,2,3,0,0,0,0,2,1
9083,0,3,3,0,0,1,0,0,0
10224,0,2,2,1,2,0,0,2,1
12874,0,4,2,2,2,0,2,1,3
139,2,3,0,2,2,1,2,1,1
9433,0,3,2,2,1,0,0,1,3
58,2,3,0,1,0,0,2,1,1
11539,0,0,1,1,1,0,0,1,3
6379,1,1,1,2,0,0,1,1,1
4693,1,3,1,2,1,1,2,1,1
2078,2,1,1,2,2,0,1,0,0
3428,2,0,2,3,2,0,1,0,0
12482,0,4,1,3,0,0,1,0,0
7864,1,4,0,1,2,1,1,1,3
1533,2,2,2,0,2,0,2,2,1
489,2,3,3,1,0,0,2,2,4
4961,1,3,3,3,1,1,0,0,0
7480,1,0,3,2,2,1,0,1,3
5519,1,2,1,2,0,1,0,0,0
675,2,3,2,0,2,1,0,2,1
9812,0,2,1,1,1,0,0,0,0
6247,1,1,0,3,1,0,0,1,3
6505,1,1,3,0,2,0,1,1,1
10518,0,1,0,2,1,0,1,2,3
949,2,2,0,1,2,1,2,1,1
10190,0,2,2,0,1,0,0,0,0
10466,0,1,0,1,1,0,1,0,0
5142,1,3,2,3,0,1,2,2,1
4071,2,4,3,3,2,0,2,2,3
6299,1,1,1,0,2,1,1,0,0
3239,2,0,3,3,1,1,1,0,0
4576,1,3,1,0,1,0,2,1,1
5906,1,2,2,1,2,0,0,0,0
10139,0,2,3,3,1,0,2,0,0
1624,2,2,2,2,0,0,2,1,1
4566,1,3,1,0,2,1,2,2,4
12448,0,4,1,2,2,1,0,1,3
4671,1,3,1,2,2,1,0,2,1
7022,1,0,0,2,0,0,0,0,0
11857,0,0,3,3,2,1,2,1,3
1812,2,1,0,1,2,1,2,2,4
11225,0,1,2,3,1,1,0,0,0
10914,0,1,3,2,0,0,1,2,3
4220,2,4,2,2,0,0,1,0,0
2750,2,0,0,2,1,1,2,0,0
12495,0,4,1,3,2,0,2,2,3
624,2,3,3,3,2,1,2,2,1
8378,1,4,3,3,0,0,1,0,0
4939,1,3,3,3,2,0,1,1,1
2224,2,1,3,1,0,1,0,1,1
203,2,3,0,3,1,0,2,0,0
6131,1,1,0,1,2,1,0,0,0
2869,2,0,1,1,0,0,1,1,1
