,Area,Perimeter,Major_Axis_Length,Minor_Axis_Length,Eccentricity,Convex_Area,Extent,target
2568,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1
529,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0
2143,2.0,2.0,1.0,3.0,2.0,2.0,3.0,1
450,2.0,3.0,3.0,2.0,4.0,3.0,2.0,0
2151,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1
950,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0
108,3.0,4.0,3.0,4.0,3.0,3.0,3.0,0
706,2.0,3.0,2.0,3.0,3.0,2.0,1.0,0
3566,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1
2850,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1
1836,1.0,2.0,2.0,2.0,3.0,1.0,2.0,1
770,2.0,2.0,2.0,2.0,3.0,2.0,0.0,0
3404,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1
2404,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1
1868,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
1299,2.0,2.0,2.0,2.0,3.0,2.0,1.0,0
3742,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1
2005,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
3656,1.0,1.0,1.0,2.0,3.0,1.0,3.0,1
590,3.0,4.0,3.0,4.0,3.0,4.0,3.0,0
1543,1.0,2.0,2.0,1.0,4.0,1.0,2.0,0
816,2.0,2.0,2.0,2.0,3.0,2.0,3.0,0
727,3.0,4.0,3.0,3.0,3.0,3.0,0.0,0
1542,3.0,4.0,3.0,3.0,3.0,3.0,2.0,0
35,2.0,3.0,2.0,3.0,2.0,3.0,1.0,0
2682,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1
1092,3.0,3.0,2.0,3.0,3.0,3.0,1.0,0
811,2.0,2.0,2.0,2.0,3.0,2.0,1.0,0
2051,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1
3066,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
1514,2.0,3.0,3.0,2.0,4.0,2.0,1.0,0
1328,2.0,2.0,2.0,2.0,3.0,2.0,2.0,0
3159,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1
3089,1.0,1.0,2.0,1.0,4.0,1.0,0.0,1
780,3.0,4.0,3.0,3.0,3.0,3.0,2.0,0
2448,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1
2562,2.0,2.0,1.0,3.0,2.0,2.0,1.0,1
2525,0.0,1.0,1.0,1.0,4.0,0.0,0.0,1
2900,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1
1308,2.0,3.0,3.0,2.0,3.0,2.0,3.0,0
573,3.0,4.0,3.0,3.0,3.0,3.0,2.0,0
2794,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
1825,2.0,2.0,1.0,3.0,2.0,2.0,4.0,1
2225,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1
3179,0.0,1.0,1.0,1.0,4.0,0.0,0.0,1
1779,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
2752,3.0,3.0,2.0,3.0,2.0,3.0,3.0,1
1339,2.0,2.0,2.0,2.0,3.0,2.0,1.0,0
2300,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1
1125,2.0,3.0,3.0,3.0,3.0,3.0,1.0,0
1160,2.0,2.0,2.0,3.0,2.0,2.0,1.0,0
655,2.0,3.0,2.0,3.0,3.0,2.0,1.0,0
1350,2.0,3.0,3.0,2.0,3.0,3.0,1.0,0
420,3.0,3.0,3.0,3.0,3.0,3.0,2.0,0
3114,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1
190,2.0,3.0,3.0,2.0,3.0,3.0,0.0,0
3551,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
3311,0.0,1.0,1.0,1.0,3.0,0.0,3.0,1
3163,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1
3571,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1
1209,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0
667,2.0,3.0,2.0,3.0,3.0,2.0,1.0,0
1070,3.0,3.0,4.0,2.0,4.0,3.0,0.0,0
2698,1.0,1.0,2.0,1.0,3.0,1.0,4.0,1
3387,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1
3765,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1
2580,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1
58,3.0,3.0,3.0,3.0,3.0,3.0,4.0,0
1910,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
3754,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1
471,3.0,4.0,3.0,2.0,4.0,3.0,0.0,0
1387,2.0,2.0,2.0,2.0,3.0,2.0,3.0,0
651,2.0,2.0,2.0,3.0,3.0,2.0,1.0,0
1541,2.0,3.0,3.0,2.0,3.0,2.0,4.0,0
1981,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1
66,3.0,4.0,4.0,3.0,3.0,4.0,0.0,0
3703,1.0,1.0,0.0,2.0,2.0,1.0,2.0,1
1644,1.0,1.0,0.0,3.0,1.0,1.0,3.0,1
65,3.0,4.0,3.0,3.0,3.0,3.0,0.0,0
1603,1.0,1.0,1.0,2.0,3.0,1.0,3.0,0
1857,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
1800,1.0,2.0,2.0,2.0,3.0,1.0,3.0,1
1407,2.0,2.0,2.0,2.0,3.0,2.0,2.0,0
2986,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1
734,2.0,3.0,3.0,2.0,4.0,2.0,1.0,0
3445,2.0,2.0,2.0,3.0,3.0,2.0,3.0,1
2493,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1
3300,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1
2672,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1
3768,1.0,1.0,1.0,2.0,3.0,1.0,3.0,1
2475,1.0,2.0,2.0,1.0,4.0,1.0,2.0,1
3536,2.0,2.0,1.0,3.0,2.0,2.0,3.0,1
3684,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1
3349,2.0,2.0,2.0,3.0,2.0,2.0,3.0,1
1995,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1
458,2.0,3.0,3.0,2.0,4.0,2.0,2.0,0
2842,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1
3093,1.0,2.0,2.0,2.0,3.0,2.0,2.0,1
1099,2.0,2.0,2.0,2.0,3.0,2.0,0.0,0
2996,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1
3426,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1
2451,1.0,1.0,0.0,2.0,2.0,1.0,2.0,1
3487,2.0,3.0,2.0,3.0,3.0,2.0,2.0,1
1106,3.0,4.0,4.0,3.0,3.0,3.0,4.0,0
2371,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1
718,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0
1725,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1
2415,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1
234,2.0,3.0,3.0,2.0,3.0,2.0,3.0,0
2793,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1
1592,3.0,3.0,3.0,2.0,4.0,3.0,0.0,0
875,2.0,3.0,3.0,2.0,4.0,2.0,2.0,0
336,3.0,4.0,4.0,3.0,3.0,3.0,1.0,0
1783,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1
2094,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1
732,2.0,3.0,3.0,2.0,3.0,2.0,2.0,0
2203,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1
3545,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1
1330,1.0,2.0,2.0,1.0,4.0,1.0,2.0,0
3710,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
3133,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
1717,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1
619,3.0,3.0,3.0,2.0,4.0,3.0,0.0,0
628,1.0,2.0,2.0,2.0,4.0,2.0,0.0,0
2267,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1
2274,1.0,1.0,2.0,1.0,3.0,1.0,4.0,1
309,3.0,3.0,2.0,4.0,2.0,3.0,2.0,0
2866,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1
2874,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
1605,2.0,3.0,3.0,3.0,3.0,3.0,1.0,0
2087,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1
923,2.0,3.0,3.0,2.0,3.0,2.0,2.0,0
1606,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0
654,3.0,3.0,3.0,2.0,3.0,3.0,2.0,0
613,2.0,3.0,3.0,2.0,3.0,2.0,1.0,0
3568,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1
1826,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
1814,1.0,1.0,2.0,1.0,3.0,1.0,3.0,1
1196,2.0,2.0,2.0,2.0,3.0,2.0,3.0,0
3193,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1
1325,3.0,4.0,4.0,3.0,3.0,3.0,2.0,0
3550,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1
2248,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1
2807,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1
1688,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1
807,2.0,2.0,2.0,2.0,3.0,2.0,2.0,0
3065,2.0,2.0,2.0,3.0,3.0,2.0,4.0,1
1490,2.0,2.0,2.0,2.0,3.0,2.0,0.0,0
696,3.0,3.0,2.0,3.0,2.0,3.0,1.0,0
2172,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1
2478,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1
3240,0.0,1.0,1.0,1.0,4.0,0.0,1.0,1
1912,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1
1370,2.0,2.0,2.0,2.0,3.0,2.0,3.0,0
2970,1.0,1.0,1.0,2.0,3.0,1.0,3.0,1
2465,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1
3486,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1
168,2.0,2.0,2.0,3.0,3.0,2.0,2.0,0
3459,1.0,2.0,1.0,2.0,3.0,1.0,3.0,1
1276,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0
3195,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1
2292,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1
971,2.0,2.0,2.0,2.0,3.0,2.0,2.0,0
2560,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1
3228,1.0,1.0,1.0,2.0,2.0,1.0,4.0,1
2113,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1
1853,2.0,2.0,1.0,2.0,2.0,2.0,3.0,1
842,2.0,2.0,2.0,2.0,3.0,2.0,1.0,0
2726,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1
1920,2.0,2.0,2.0,2.0,3.0,2.0,0.0,1
3293,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1
80,3.0,3.0,3.0,3.0,3.0,3.0,2.0,0
3781,1.0,1.0,1.0,2.0,2.0,1.0,4.0,1
99,3.0,3.0,3.0,2.0,4.0,3.0,2.0,0
3012,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1
2539,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1
2897,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1
90,2.0,2.0,2.0,2.0,3.0,2.0,2.0,0
621,3.0,4.0,3.0,2.0,4.0,3.0,1.0,0
3214,2.0,2.0,1.0,3.0,2.0,2.0,3.0,1
1842,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1
2318,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
2813,1.0,1.0,1.0,1.0,3.0,1.0,4.0,1
1558,2.0,3.0,2.0,3.0,3.0,2.0,3.0,0
3560,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1
3735,0.0,1.0,1.0,0.0,4.0,0.0,1.0,1
572,2.0,3.0,3.0,2.0,4.0,2.0,2.0,0
3156,2.0,2.0,1.0,2.0,2.0,2.0,3.0,1
644,4.0,4.0,4.0,4.0,3.0,4.0,1.0,0
483,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0
2718,1.0,1.0,1.0,1.0,3.0,1.0,0.0,1
1819,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1
3786,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1
1041,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0
823,2.0,2.0,2.0,2.0,3.0,2.0,1.0,0
3345,0.0,1.0,1.0,1.0,3.0,0.0,3.0,1
457,3.0,3.0,3.0,3.0,3.0,3.0,2.0,0
1894,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1
2754,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1
3086,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1
922,3.0,4.0,4.0,3.0,4.0,3.0,1.0,0
2099,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1
3674,0.0,0.0,1.0,0.0,4.0,0.0,3.0,1
3000,1.0,1.0,0.0,2.0,1.0,1.0,3.0,1
1100,2.0,3.0,2.0,3.0,3.0,2.0,2.0,0
1959,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
1955,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1
296,2.0,2.0,1.0,3.0,2.0,2.0,1.0,0
464,3.0,4.0,3.0,3.0,3.0,3.0,1.0,0
3327,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1
2640,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1
1232,3.0,4.0,4.0,3.0,4.0,3.0,1.0,0
3038,1.0,1.0,0.0,3.0,1.0,1.0,3.0,1
2073,2.0,2.0,2.0,3.0,3.0,2.0,1.0,1
1142,3.0,4.0,4.0,3.0,3.0,3.0,3.0,0
1832,1.0,1.0,1.0,1.0,3.0,1.0,0.0,1
3432,2.0,2.0,2.0,2.0,3.0,2.0,0.0,1
1736,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
285,2.0,3.0,3.0,2.0,3.0,3.0,0.0,0
1866,2.0,2.0,1.0,3.0,2.0,2.0,1.0,1
2545,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1
1777,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1
1220,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0
3170,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1
3032,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1
1089,2.0,3.0,2.0,2.0,3.0,2.0,2.0,0
1600,3.0,3.0,3.0,2.0,4.0,3.0,2.0,0
1966,1.0,1.0,0.0,2.0,2.0,1.0,4.0,1
2350,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1
3484,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1
2815,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1
2995,2.0,2.0,1.0,3.0,2.0,2.0,3.0,1
2234,2.0,2.0,1.0,3.0,2.0,2.0,3.0,1
257,2.0,3.0,2.0,2.0,3.0,2.0,0.0,0
2370,2.0,2.0,2.0,3.0,2.0,2.0,3.0,1
479,2.0,3.0,3.0,2.0,3.0,2.0,1.0,0
941,3.0,3.0,3.0,3.0,3.0,3.0,2.0,0
1489,2.0,3.0,3.0,3.0,3.0,2.0,1.0,0
1742,2.0,2.0,1.0,3.0,2.0,2.0,4.0,1
936,2.0,3.0,2.0,3.0,3.0,2.0,3.0,0
506,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0
3596,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1
3125,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1
1980,1.0,1.0,1.0,2.0,3.0,1.0,3.0,1
626,2.0,3.0,2.0,2.0,3.0,2.0,0.0,0
1145,2.0,3.0,3.0,2.0,3.0,2.0,0.0,0
178,2.0,3.0,2.0,3.0,2.0,2.0,1.0,0
2617,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1
3411,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1
12,3.0,4.0,4.0,3.0,4.0,3.0,3.0,0
1439,2.0,2.0,2.0,2.0,3.0,2.0,0.0,0
3539,0.0,1.0,1.0,0.0,4.0,0.0,0.0,1
242,3.0,4.0,4.0,3.0,4.0,3.0,0.0,0
2783,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1
3356,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1
1574,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0
312,2.0,3.0,3.0,2.0,3.0,2.0,2.0,0
1019,2.0,2.0,2.0,2.0,3.0,2.0,1.0,0
606,2.0,3.0,3.0,2.0,3.0,2.0,1.0,0
2657,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1
193,2.0,3.0,3.0,2.0,3.0,2.0,1.0,0
154,4.0,4.0,3.0,4.0,3.0,4.0,1.0,0
1075,2.0,2.0,2.0,2.0,3.0,2.0,1.0,0
3250,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1
2208,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1
2961,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1
1353,3.0,4.0,3.0,3.0,3.0,3.0,0.0,0
299,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0
2084,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1
3658,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1
726,4.0,4.0,3.0,4.0,3.0,4.0,2.0,0
1157,2.0,2.0,2.0,2.0,3.0,2.0,2.0,0
820,4.0,4.0,4.0,4.0,3.0,4.0,1.0,0
2938,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1
1782,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1
2870,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1
1671,2.0,3.0,2.0,2.0,3.0,2.0,2.0,1
2710,2.0,1.0,1.0,3.0,2.0,2.0,4.0,1
829,2.0,3.0,3.0,2.0,4.0,2.0,0.0,0
1988,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
123,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0
1178,3.0,3.0,2.0,3.0,2.0,3.0,1.0,0
2323,1.0,2.0,2.0,2.0,3.0,2.0,2.0,1
3516,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1
2715,1.0,2.0,2.0,1.0,4.0,1.0,0.0,1
2895,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1
1840,2.0,2.0,2.0,3.0,2.0,2.0,3.0,1
3526,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1
2650,2.0,1.0,1.0,3.0,2.0,2.0,3.0,1
1704,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1
3434,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1
836,2.0,2.0,2.0,2.0,3.0,2.0,1.0,0
3313,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1
1908,1.0,2.0,2.0,2.0,3.0,2.0,2.0,1
209,2.0,3.0,2.0,3.0,3.0,2.0,2.0,0
1575,3.0,4.0,3.0,4.0,3.0,4.0,1.0,0
2231,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1
3519,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1
1377,3.0,3.0,3.0,2.0,3.0,3.0,3.0,0
697,3.0,4.0,3.0,3.0,3.0,3.0,1.0,0
3695,1.0,1.0,1.0,2.0,3.0,1.0,3.0,1
2027,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1
1094,2.0,3.0,2.0,2.0,3.0,2.0,0.0,0
2184,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1
388,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0
96,2.0,3.0,3.0,2.0,4.0,2.0,0.0,0
425,2.0,3.0,2.0,3.0,3.0,2.0,1.0,0
2460,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1
901,2.0,3.0,3.0,2.0,3.0,2.0,0.0,0
2664,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
2492,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1
1127,3.0,4.0,4.0,2.0,4.0,3.0,2.0,0
162,3.0,4.0,3.0,3.0,3.0,3.0,3.0,0
3094,1.0,2.0,2.0,2.0,3.0,1.0,2.0,1
643,2.0,3.0,2.0,3.0,3.0,2.0,2.0,0
2229,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1
1161,3.0,3.0,3.0,3.0,3.0,3.0,2.0,0
1159,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0
2171,2.0,2.0,1.0,3.0,1.0,2.0,3.0,1
2315,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1
942,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0
1315,2.0,2.0,2.0,2.0,3.0,2.0,1.0,0
2537,1.0,2.0,1.0,2.0,3.0,1.0,2.0,1
2972,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1
2590,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1
1770,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
2137,1.0,2.0,1.0,2.0,3.0,1.0,2.0,1
2441,2.0,2.0,1.0,3.0,1.0,2.0,1.0,1
1284,2.0,3.0,2.0,3.0,3.0,3.0,3.0,0
136,3.0,4.0,4.0,3.0,3.0,3.0,3.0,0
3500,2.0,2.0,1.0,3.0,2.0,2.0,3.0,1
424,2.0,2.0,2.0,3.0,2.0,2.0,3.0,0
3157,1.0,1.0,2.0,1.0,3.0,1.0,3.0,1
3142,1.0,1.0,0.0,2.0,1.0,1.0,2.0,1
1206,3.0,4.0,3.0,3.0,3.0,3.0,3.0,0
1599,3.0,3.0,3.0,3.0,3.0,3.0,2.0,0
1547,2.0,3.0,3.0,2.0,3.0,3.0,2.0,0
919,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0
231,2.0,3.0,3.0,2.0,3.0,3.0,1.0,0
248,2.0,3.0,3.0,2.0,3.0,2.0,3.0,0
3462,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1
1608,1.0,2.0,2.0,2.0,3.0,2.0,3.0,0
633,2.0,2.0,2.0,2.0,3.0,2.0,1.0,0
1237,4.0,4.0,3.0,4.0,3.0,4.0,1.0,0
2906,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
2338,1.0,1.0,1.0,2.0,3.0,1.0,3.0,1
830,2.0,3.0,2.0,3.0,3.0,2.0,1.0,0
837,1.0,2.0,2.0,2.0,3.0,1.0,3.0,0
911,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0
2891,1.0,1.0,0.0,2.0,2.0,1.0,2.0,1
1915,2.0,2.0,2.0,2.0,3.0,2.0,4.0,1
1791,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1
934,2.0,3.0,3.0,3.0,3.0,3.0,0.0,0
1119,2.0,3.0,3.0,3.0,3.0,2.0,2.0,0
2476,1.0,1.0,1.0,2.0,3.0,1.0,3.0,1
3122,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1
3128,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1
1598,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0
3499,1.0,1.0,1.0,2.0,2.0,1.0,4.0,1
2744,2.0,2.0,1.0,3.0,2.0,2.0,3.0,1
2101,2.0,1.0,1.0,3.0,2.0,2.0,3.0,1
165,3.0,4.0,4.0,3.0,3.0,3.0,3.0,0
192,2.0,3.0,3.0,2.0,3.0,3.0,1.0,0
212,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0
1926,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1
1888,1.0,1.0,1.0,2.0,3.0,1.0,3.0,1
3210,1.0,1.0,1.0,2.0,3.0,1.0,4.0,1
2822,1.0,0.0,0.0,2.0,2.0,1.0,2.0,1
115,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0
2034,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1
1862,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1
921,1.0,1.0,2.0,1.0,3.0,1.0,1.0,0
1737,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
2599,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1
1364,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0
1404,2.0,2.0,2.0,2.0,3.0,2.0,0.0,0
3198,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1
990,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0
653,4.0,4.0,3.0,4.0,3.0,4.0,2.0,0
1680,0.0,0.0,0.0,1.0,3.0,0.0,3.0,1
1281,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0
2552,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1
575,2.0,2.0,2.0,2.0,3.0,2.0,1.0,0
1858,1.0,1.0,1.0,2.0,3.0,1.0,3.0,1
2431,3.0,3.0,2.0,4.0,2.0,3.0,2.0,1
3611,1.0,1.0,1.0,2.0,3.0,1.0,3.0,1
1638,2.0,2.0,2.0,3.0,3.0,2.0,1.0,1
1895,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1
3491,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1
1098,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0
3328,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
2429,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1
3344,2.0,2.0,2.0,2.0,4.0,2.0,1.0,1
3489,1.0,2.0,2.0,1.0,4.0,1.0,3.0,1
2406,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1
2681,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1
2748,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1
2908,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1
3095,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1
1851,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
2720,1.0,1.0,1.0,2.0,2.0,1.0,4.0,1
1943,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1
3777,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1
3377,2.0,2.0,1.0,2.0,3.0,2.0,1.0,1
1919,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1
382,2.0,3.0,2.0,3.0,3.0,2.0,1.0,0
670,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0
1617,2.0,3.0,3.0,3.0,3.0,2.0,1.0,0
3495,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1
1333,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0
1170,2.0,3.0,2.0,2.0,3.0,2.0,3.0,0
2253,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1
2283,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1
2284,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1
1118,3.0,3.0,3.0,3.0,3.0,3.0,2.0,0
1573,2.0,3.0,3.0,2.0,4.0,2.0,2.0,0
3085,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
2210,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1
1834,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1
666,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0
1004,2.0,3.0,3.0,2.0,3.0,2.0,4.0,0
1987,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1
559,3.0,3.0,3.0,3.0,2.0,3.0,1.0,0
898,1.0,2.0,2.0,1.0,4.0,1.0,0.0,0
301,3.0,3.0,3.0,3.0,3.0,3.0,4.0,0
